,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCUFgkRb0ZHc4Rpq15VRCICA,WA4dDs0T7sM,You Can&#39;t Stop Us | Nike,2020-07-30T14:34:28Z,52759564,78118,17367,7599,0,Nike,1490000
1,UCRWFSbif-RFENbBrSiez1DA,PO8YWwh1Ato,ABP LIVE : Sushant Case Updates  | Breaking News | Covid-19 | ABP News LIVE,2020-08-04T17:03:57Z,22766518,142329,25561,0,0,ABP NEWS,25900000
2,UCUR8Hid3gm05upmtk4LrgpQ,czmpdY1VFFs,Superheroes VS Coronavirus,2020-08-04T12:30:03Z,4683929,12896,5282,0,0,FatTV,1550000
3,UCK8sQmJBp8GCxrOtXWBpyEA,9iPvLx7gotk,Wear a mask. Help slow the spread of Covid-19.,2020-07-31T17:42:28Z,2502896,1850,697,261,0,Google,9260000
4,UCupvZG-5ko_eiXAupbDfxWw,oSCSWVrcCtA,See Dr. Anthony Fauci&#39;s heated exchange with Jim Jordan over protests during coronavirus,2020-07-31T15:13:11Z,1578429,15025,2296,29115,0,CNN,10400000
5,UCupvZG-5ko_eiXAupbDfxWw,syyJc7jPDM0,Report: Kushner&#39;s Covid-19 testing plan &#39;went poof into thin air&#39;,2020-08-01T00:25:02Z,1182938,12925,1221,7252,0,CNN,10400000
6,UC_qdzlIhCHuVR-3crU-IiFQ,lSSiKz95tzw,I Caught Covid-19 So I Built My Dream Gaming and Editing Set Up While I Was In Quarantine,2020-08-01T00:32:08Z,1150585,109869,1674,30804,0,Nextraker,1960000
7,UCa-vioGhe2btBcZneaPonKA,3a1UPlMkI1w,News18 Kannada | Kannada Live News | Karnataka | nyuus18 knndd neer prsaar | COVID-19 Updates,2020-07-29T13:31:56Z,1110171,2219,541,0,0,News18 Kannada,1250000
8,UCCgLMMp4lv7fSD2sBz1Ai6Q,67t2MnXJ6bE,Chinese Doctor Reveals Origin Of Coronavirus,2020-07-31T02:15:00Z,1020216,19543,1412,464,0,OTV,4210000
9,UCrp_UI8XtuYfpiqluWLD7Lw,CekPh79NZew,"Dr. Anthony Fauci: Coronavirus is so contagious, it likely won&#39;t ever disappear",2020-07-31T18:25:32Z,852120,6843,6827,9973,0,CNBC Television,822000
10,UC4oQAvXFuNlKivYjUynQKTA,IMuMQsvIJUE,"""El coronavirus no procede de la naturaleza ni salio de un mercado de Wuhan"" | Videos Semana",2020-07-29T22:09:09Z,815985,7022,595,1289,0,Revista Semana,646000
11,UCH1oRy1dINbMVp3UFWrKP0w,8OjXgF_kdtM,US enters &#39;new phase&#39; of coronavirus pandemic l GMA,2020-08-03T15:16:15Z,796925,4061,3914,8483,0,Good Morning America,1870000
12,UChZ0JmGgyOWSU-1iXxPhsVA,wa-mcAw7kWM,JIJU and 7 years old NEPHEW is COVID positive | Ss Vlogs :-),2020-08-03T04:17:52Z,792909,61880,1141,9736,0,Sambhavna Seth Entertainment,1070000
13,UCnxGkOGNMqQEUMvroOWps6Q,u271hC4EMT4,How Mike Baker Feels About Coronavirus Response,2020-08-04T19:15:00Z,777557,10416,1473,3729,0,JRE Clips,5050000
14,UC7sbc0Ed3_yMu-etXVpj7cg,QIZFmQeUnu8,COVID related!,2020-07-29T05:01:23Z,725056,48567,13207,3493,0,Kunal Kamra,1750000
15,UCBi2mrWuNuyYy4gbM6fU18Q,OhWSEDkijr8,Daily coronavirus deaths hit staggering milestone,2020-08-02T14:07:46Z,718897,3801,4081,7508,0,ABC News,9560000
16,UCIRYBXDze5krPDzAEOxFGVA,fqVpU3bEfaE,Trump claims US coronavirus deaths lower than other nations,2020-08-04T08:19:35Z,700627,938,111,625,0,Guardian News,1270000
17,UCaXkIU1QidjPwiAYu6GcHjg,n8i4ohDKWP4,The Devastation From Coronavirus Appears To Have Sealed Trump's Political Fate | Deadline | MSNBC,2020-07-31T22:12:51Z,678745,10423,440,4506,0,MSNBC,3370000
18,UCeY0bbntWzzVIaj2z3QigXg,buTkbpyB8ZI,'A War Against Stupidity': Healthcare Workers Battle Coronavirus Misinformation | NBC News NOW,2020-08-01T00:13:32Z,656502,5375,522,3263,0,NBC News,3690000
19,UCBi2mrWuNuyYy4gbM6fU18Q,mgU5RCfPZPg,"Experts predict more than 230,000 U.S. coronavirus deaths by November",2020-07-31T17:21:31Z,643019,2348,2529,5865,0,ABC News,9560000
20,UCJLZe_NoiG0hT7QCX_9vmqw,Jki49UFR8q0,We used an ILLEGAL Covid Test from Wish!,2020-08-03T17:00:10Z,631247,48751,927,3169,0,I did a thing,1150000
21,UChDKyKQ59fYz3JO2fl0Z6sg,xfbjDH3SgOA,"Coronavirus Spread Doesn't Seem To Be Slowing Down, Doctor Says | TODAY",2020-08-01T14:56:03Z,597259,2381,3432,5288,0,TODAY,2410000
22,UCn4sPeUomNGIr26bElVdDYg,4TGhgzZ8JG8,Lincoln Project Ad Slams Trump's COVID-19 Response | NowThis,2020-08-02T15:59:49Z,568191,20238,264,3182,0,NowThis News,1060000
23,UC8-Th83bH_thdKZDJCrn88g,8nKefGFNLmA,Trump Is Obsessed with an Unproven Coronavirus Cure | The Tonight Show,2020-07-29T03:50:03Z,569726,7669,727,1313,0,The Tonight Show Starring Jimmy Fallon,25400000
24,UClfxfOThZDPL_c0Ld7psDsw,uCwBndI0qVE,"?""Tercera ola"" del Covid-19 a la vista? | Alfredo Jalife | Radar Geopolitico",2020-08-03T23:30:51Z,555391,30361,1033,3317,0,CONFERENCIAS EXCLUSIVAS Alfredo Jalife,222000
25,UCH1oRy1dINbMVp3UFWrKP0w,TMUpH_XFfrc,5th grade teacher shows what her classroom will look like amid COVID-19 l GMA Digital,2020-07-29T22:02:26Z,547446,7336,404,3712,0,Good Morning America,1870000
26,UCaXkIU1QidjPwiAYu6GcHjg,nHNW5VecFyU,Mika To Trump On Coronavirus: 'You Have Botched This From The Start' | Morning Joe | MSNBC,2020-07-29T12:59:49Z,537628,8554,361,4684,0,MSNBC,3370000
27,UCoMdktPbSTixAyNGwb-UYkQ,oQWzH_sgKxE,Businesses in turmoil over sudden halt to lockdown easing - UK COVID-19 update,2020-07-31T19:13:19Z,519457,1882,2212,2755,0,Sky News,2570000
28,UCB_qr75-ydFVKSF9Dmo6izg,S2q-lA7CDBQ,Sergio Perez Tests Positive for COVID-19: What Now? | 2020 British Grand Prix,2020-07-30T21:16:49Z,492158,15507,273,2851,0,FORMULA 1,4090000
29,UCupvZG-5ko_eiXAupbDfxWw,O3b3LtPt4N8,Trump on US coronavirus deaths: &#39;It is what it is&#39;,2020-08-04T23:15:37Z,485483,5873,1448,6817,0,CNN,10400000
30,UCBi2mrWuNuyYy4gbM6fU18Q,vMSNLlcwgMw,President Trump blasts Dr. Birx over coronavirus warnings | WNT,2020-08-04T00:17:50Z,481269,2943,1790,4003,0,ABC News,9560000
31,UCupvZG-5ko_eiXAupbDfxWw,fTGjiHO7JcM,John King breaks down latest Covid-19 US trends,2020-08-02T13:27:54Z,479017,4167,563,4169,0,CNN,10400000
32,UCLtREJY21xRfCuEKvdki1Kw,wj0-sRbmln4,YouTubers Are Knowingly Spreading Covid - H3 Podcast #201,2020-07-29T15:40:20Z,469109,17656,1653,7034,0,H3 Podcast,2150000
33,UChDKyKQ59fYz3JO2fl0Z6sg,6FUTUeU5vZM,"California, Texas And Florida Hit All-Time Highs For Coronavirus Cases | TODAY",2020-07-30T12:00:17Z,466025,1874,2064,3391,0,TODAY,2410000
34,UCPXTXMecYqnRKNdqdVOGSFg,83nDgrjik4k,Oxford COVID 19 vaccine to start advanced trial in India soon - TV9,2020-08-04T08:21:19Z,464217,0,0,365,0,TV9 Telugu Live,6310000
35,UCqnbDFdCpuN8CMEg0VuEBqA,kwkvTBgTO7A,What Does America's Coronavirus Response Look Like Abroad? | NYT Opinion,2020-07-29T17:00:17Z,446436,9543,1904,5627,0,The New York Times,3090000
36,UCno7Il827hKNgL7lArqRifQ,jHTHEagx0e0,Special Report: Chinese Doctor Reveals Some Shocking Facts About Coronavirus,2020-07-30T11:45:00Z,444529,8112,537,197,0,Kanak News LIVE,296000
37,UCaXkIU1QidjPwiAYu6GcHjg,cQV2R5nYDqI,"As Far As Trump Is Concerned On Deaths From Coronavirus, 'It Is What It Is' | Deadline | MSNBC",2020-08-04T22:14:30Z,444434,5747,225,1988,0,MSNBC,3370000
38,UCCj956IF62FbT7Gouszaj9w,Z1tlZJDCbZw,Boris Johnson halts plans to ease restrictions in England - Covid-19 Government Briefing  - BBC,2020-07-31T11:39:53Z,438182,1875,1706,3940,0,BBC,9170000
39,UCeY0bbntWzzVIaj2z3QigXg,mO4ERWZYy9I,"Live: Fauci, Redfield, Giroir Testify At House Coronavirus Hearing | NBC News",2020-07-31T17:17:52Z,438338,2350,521,650,0,NBC News,3690000
40,UCqmZBc7T8J5TFuRT5uf-j_g,DyhzKPce5EY,Coronavirus: Rusia tiene su vacuna,2020-08-04T00:33:01Z,454637,4072,253,970,0,Televisión Pública Noticias,171000
41,UCE2606prvXQc_noEqKxVJXA,RBOtpAfaeo4,Duterte: Philippines&#39; first COVID-19 vaccine might come from China | ABS-CBN News,2020-07-31T02:18:56Z,429892,2642,670,2079,0,ABS-CBN News,9980000
42,UCUBIrDsIVzRpKsClMlSlTpQ,PM9KBQyKHz8,Como identificar los 6 &#39;tipos&#39; de covid-19 que producen diferentes sintomas | BBC Mundo,2020-07-29T13:33:55Z,421968,19359,419,1199,0,BBC News Mundo,1450000
43,UCaXkIU1QidjPwiAYu6GcHjg,NJ77YJpNf9M,"Trump Says COVID-19 Is Receding (It Isn&#39;t), Still Has No National Plan | The 11th Hour | MSNBC",2020-08-04T04:41:29Z,401120,5831,288,3725,0,MSNBC,3370000
44,UCaXkIU1QidjPwiAYu6GcHjg,jrwOvap7uLo,Trump Defends Sharing Bogus COVID-19 &#39;Cure&#39; At Odds With His Own FDA | The 11th Hour | MSNBC,2020-07-29T05:39:36Z,399136,6138,320,4165,0,MSNBC,3370000
45,UCupvZG-5ko_eiXAupbDfxWw,8dlUixr82YE,Herman Cain dies from coronavirus,2020-07-30T15:35:29Z,393050,4090,781,10839,0,CNN,10400000
46,UCaXkIU1QidjPwiAYu6GcHjg,PCGkl2idBhY,Nothing On COVID-19 From Trump In Texas As State Sees 313 More Deaths | The 11th Hour | MSNBC,2020-07-30T05:14:03Z,382820,5320,248,2977,0,MSNBC,3370000
47,UCIzXayRP7-P0ANpq-nD-h5g,Z5TSLtgdsqs,COVID-19 UK: government to roll out &quot;ground-breaking&quot; coronavirus test that works in an hour,2020-08-03T15:07:20Z,375514,1296,1687,2044,0,The Sun,1000000
48,UCPgLNge0xqQHWM5B5EFH9Cg,WQsLvvEdyOk,Donald Trump clashes with HBO reporter over Covid-19 death numbers,2020-08-04T08:33:09Z,380433,3221,431,0,0,The Telegraph,1340000
49,UChirEOpgFCupRAk5etXqPaA,6SfK1nHLd-o,Coronavirus Updates: Herman Cain Dies From Covid-19; Trump Floats Delaying Election Over Virus,2020-07-30T01:38:35Z,366681,1295,1503,3,0,Bloomberg QuickTake News,482000
